GEO_Accession	PEGRid	Target	Antibody	HeatTreatment	ChemicalTreatment	GeneticModification	Strain
GSM6542639	28907	TBP	61411	37C	AR30	WT	AB001
GSM6542640	28908	Taf1	ReeseLab-B01	37C	AR30	WT	AB001
GSM6542641	28910	IgG	i5006	37C	AR30	WT	AB001
GSM6542642	28919	TBP	61411	25C	AR30	Taf1-Dtag	AB001
GSM6542643	28920	Taf1	ReeseLab-B01	25C	AR30	Taf1-Dtag	AB001
GSM6542644	28923	TBP	61411	37C	AR30	Taf1-Dtag	AB001
GSM6542645	28924	Taf1	ReeseLab-B01	37C	AR30	Taf1-Dtag	AB001
GSM6542646	28926	IgG	i5006	37C	AR30	Taf1-Dtag	AB001
GSM6542647	28927	TBP	61411	25C	AR30	Spt20-Dtag	AB001
GSM6542648	28928	Taf1	ReeseLab-B01	25C	AR30	Spt20-Dtag	AB001
GSM6542649	28931	TBP	61411	37C	AR30	Spt20-Dtag	AB001
GSM6542650	28932	Taf1	ReeseLab-B01	37C	AR30	Spt20-Dtag	AB001
GSM6542651	28934	IgG	i5006	37C	AR30	Spt20-Dtag	AB001
GSM6542652	28952	TBP	61411	25C	AR30	WT	AB001
GSM6542653	28954	TBP	61411	25C	AR30	Tra1-Dtag	AB001
GSM6542654	28958	TBP	61411	25C	AR30	Spt20-Dtag	AB001
GSM6542655	28961	Taf1	ReeseLab-B01	37C	AR30	WT	AB001
GSM6542656	28966	IgG	i5006	25C	AR30	WT	AB001
